"","country","life_ladder_2018","log_gdp_2018","social_support_2018","life_expectancy_2018","freedom_to_make_life_choices_2018","generosity_2018","perceived_corruption_2018","positive_affect_2018","negative_affect_2018","life_ladder_2020","log_gdp_2020","social_support_2020","life_expectancy_2020","freedom_to_make_life_choices_2020","generosity_2020","perceived_corruption_2020","positive_affect_2020","negative_affect_2020","life_ladder_2022","log_gdp_2022","social_support_2022","life_expectancy_2022","freedom_to_make_life_choices_2022","generosity_2022","perceived_corruption_2022","positive_affect_2022","negative_affect_2022"
"22","Dominican Republic",5.433,9.769,0.862,63.8,0.867,-0.153,0.762,7.19,2.91,5.168,9.727,0.806,64.2,0.835,-0.126,0.636,7.24,3.14,5.518,9.874,0.82,64.6,0.853,-0.084,0.656,7.23,3.06
"23","Ecuador",6.128,9.359,0.851,68.25,0.869,-0.103,0.831,8.17,3.28,5.354,9.245,0.804,68.75,0.829,-0.16,0.855,7.55,4.16,5.887,9.29,0.825,69.25,0.759,-0.08,0.866,7.77,3.56
"24","Egypt",4.005,9.286,0.759,62.75,0.682,-0.215,NA,4.07,2.85,4.472,9.34,0.673,63.25,0.77,-0.112,NA,5.43,4.42,4.024,9.404,0.769,63.75,0.733,-0.208,NA,4.86,3.07
"25","El Salvador",6.241,9.084,0.82,64.55,0.863,-0.1,0.801,8.17,2.7,5.462,9.02,0.696,65.25,0.924,-0.129,0.583,8.11,3.29,6.492,9.135,0.772,65.95,0.914,-0.112,0.621,8.23,2.96
"26","Estonia",6.091,10.463,0.933,68.975,0.886,-0.145,0.621,7.3,1.63,6.453,10.488,0.958,69.425,0.954,-0.088,0.398,7.62,1.88,6.357,10.571,0.933,69.875,0.904,0.136,0.39,7.67,1.87
"27","Ethiopia",4.379,7.634,0.74,59.5,0.74,0.039,0.799,5.62,2.72,4.549,7.72,0.823,60.3,0.769,0.186,0.784,6.15,2.52,3.628,7.757,0.74,61.1,0.674,0.361,0.793,5.6,3.35
"28","Finland",7.858,10.78,0.962,70.925,0.938,-0.131,0.199,7.49,1.82,7.889,10.767,0.962,71.075,0.962,-0.121,0.164,7.48,1.93,7.729,10.814,0.974,71.225,0.959,0.102,0.19,7.41,1.91
"29","France",6.666,10.72,0.921,72,0.816,-0.142,0.582,7.05,2.82,6.714,10.651,0.947,72.2,0.823,-0.174,0.565,6.9,2.31,6.614,10.737,0.866,72.4,0.798,-0.025,0.533,6.88,2.49
"30","Gabon",4.783,9.565,0.785,57.275,0.719,-0.198,0.823,6.14,4.18,4.887,9.54,0.701,57.925,0.528,-0.192,0.789,5.68,4.16,5.14,9.539,0.775,58.575,0.699,-0.164,0.803,6.61,4.14
"31","Georgia",4.659,9.565,0.617,64.575,0.775,-0.236,0.755,4.79,2.44,5.123,9.544,0.718,64.825,0.764,-0.223,0.583,5.73,2.95,5.293,9.746,0.754,65.075,0.821,-0.253,0.655,5.03,2.33
